ticker,candle_index,score,ret_1,ret_2,ret_3,ret_6,ret_10
A,50,55,-0.739,0.443,0.143,-1.684,-2.588
A,76,75,0.462,4.462,4.827,3.423,5.462
A,208,74,-2.581,-2.514,-3.566,-4.319,-2.939
A,213,73,-2.166,-1.465,-1.076,-0.381,-2.124
A,217,77,-0.516,-0.141,-0.367,-1.889,-0.076
A,226,65,1.259,1.062,1.379,2.177,1.891
A,244,56,-0.863,-0.878,0.0,0.829,-0.946
A,286,56,0.933,0.955,1.218,1.221,1.03
A,374,56,0.724,-1.537,-1.496,-3.269,-5.849
A,394,86,0.119,-1.73,-1.119,-0.817,-0.532
A,459,77,-0.293,0.09,-0.301,0.128,-2.331
A,500,84,2.039,2.987,4.604,3.156,5.108
A,593,64,-0.051,0.275,-0.029,3.042,0.477
A,657,74,-0.695,-1.261,-1.631,4.757,6.033
A,701,76,2.03,2.372,2.691,4.059,3.546
A,766,73,0.756,0.922,0.591,0.654,0.535
A,785,58,-0.184,0.974,0.419,0.897,0.713
A,874,71,0.515,0.905,0.787,-0.029,-0.511
A,905,85,-0.425,0.209,-0.177,0.358,-5.329
A,923,86,0.533,0.312,1.042,-0.755,0.131
A,963,81,0.372,-1.317,-1.594,-1.756,-0.94
A,1098,75,-0.607,0.449,0.116,0.162,-0.932
A,1125,75,2.111,2.768,4.906,4.135,3.522
A,1284,60,1.37,1.629,2.233,7.2,4.067
A,1323,72,0.217,-1.087,-2.146,-1.592,-2.381
A,1330,84,-1.395,-1.139,-0.964,-2.775,-1.772
A,1340,81,-1.101,-0.598,0.127,0.348,0.123
A,1364,71,0.349,1.797,3.503,7.858,7.52
A,1413,72,-0.647,-1.361,-1.53,-1.957,-1.545
A,1421,91,0.17,-0.969,-2.068,-1.406,-4.078
A,1439,89,0.027,-0.26,-0.477,-2.85,-2.408
A,1449,73,-1.295,-1.621,-1.582,0.866,-2.034
A,1453,74,0.278,0.826,-1.517,-2.073,-1.891
A,1463,54,0.583,1.166,0.583,1.247,-2.049
A,1483,77,0.149,-0.248,-1.482,-3.733,-3.427
A,1504,74,-0.992,-1.583,-2.107,-2.169,0.527
A,1572,87,-0.051,0.272,0.043,-1.114,-4.225
A,1596,80,1.603,1.505,1.771,2.001,20.856
A,1641,59,4.446,2.994,2.926,0.942,1.337
AAPL,73,75,0.65,1.833,3.624,3.419,6.245
AAPL,206,86,0.178,-0.535,-0.243,0.327,0.194
AAPL,226,80,0.101,-0.021,0.604,2.654,3.213
AAPL,264,67,0.61,0.365,0.863,0.927,1.021
AAPL,297,74,0.387,1.223,1.119,0.099,-0.805
AAPL,315,31,-1.405,-0.603,-0.625,-3.142,-6.08
AAPL,332,94,-0.385,0.828,0.811,-0.198,-0.05
AAPL,368,67,-1.648,-0.903,-1.252,-1.543,-1.054
AAPL,371,68,-0.683,-0.655,-0.295,-1.073,4.125
AAPL,375,69,-0.987,-1.143,0.13,4.052,-0.207
AAPL,378,72,3.019,3.343,3.917,-0.291,-1.38
AAPL,397,67,0.142,0.562,0.766,2.687,0.201
AAPL,530,66,-1.203,-1.671,1.185,-5.766,-5.464
AAPL,533,84,-2.146,-5.345,-6.869,-5.358,-4.492
AAPL,544,73,0.777,0.578,2.224,2.46,4.531
AAPL,590,62,0.197,-0.184,-3.352,-2.701,2.67
AAPL,599,70,-0.076,1.194,-0.203,-0.631,-0.736
AAPL,672,75,0.541,0.612,0.169,-1.562,-0.753
AAPL,805,80,0.093,0.189,-2.871,-2.578,-6.635
AAPL,821,86,0.345,-0.054,-0.251,3.5,6.892
AAPL,859,79,-0.656,-0.801,0.179,2.485,4.027
AAPL,910,73,-0.087,0.021,-5.665,-7.652,-12.263
AAPL,927,83,0.0,-0.539,-0.534,1.719,3.89
AAPL,961,99,1.133,3.038,3.467,0.566,-2.386
AAPL,1002,52,0.213,0.953,0.692,0.298,-0.982
AAPL,1030,71,0.622,0.763,0.51,-0.619,-0.178
AAPL,1056,77,-0.398,0.304,0.751,0.328,0.08
AAPL,1119,72,3.125,3.226,7.011,6.544,9.416
AAPL,1285,55,0.048,1.338,1.881,2.283,2.248
AAPL,1346,70,0.12,0.169,1.129,0.809,0.742
AAPL,1382,82,-0.291,-0.406,-0.747,-0.383,-1.012
AAPL,1406,74,-0.089,2.784,3.036,4.509,3.324
AAPL,1461,76,0.756,0.828,0.68,2.865,3.005
AAPL,1495,80,-0.029,0.035,-1.942,-4.068,-2.489
AAPL,1513,82,1.253,0.123,0.988,0.573,-1.949
AAPL,1525,86,0.252,0.749,0.126,2.008,2.025
AAPL,1631,72,-0.212,-1.126,-0.588,-0.822,-2.002
AAPL,1649,80,2.025,1.785,6.572,8.205,8.361
ABBV,41,73,0.013,-0.154,-0.181,-0.597,-1.288
ABBV,76,75,0.855,0.524,-0.468,-0.588,0.56
ABBV,97,73,0.931,-0.216,-0.404,-0.7,-0.775
ABBV,356,56,-0.189,-0.217,0.423,-0.033,-1.292
ABBV,387,75,1.005,0.256,1.224,2.247,2.186
ABBV,411,80,-1.203,-0.659,-0.867,-2.07,-1.85
ABBV,449,91,-0.546,-0.62,0.003,2.599,5.073
ABBV,501,54,0.192,0.386,0.516,-0.404,3.722
